Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Hashtag Sweets],Price [Hashtag Sweets],In stock [Hashtag Sweets],Low stock [Hashtag Sweets]
fidget-candy,10076,Fidget Candy,Candy Toys (YLF),,N,,,,,,,2.80,,,,N,Y,4.90,,
fireworks,10327,Fireworks,Party Supplies,,N,,,,,,,0.00,,,,N,Y,6.90,,
floss-candy,10077,Floss Candy,Candy Toys (YLF),,N,,,,,,,2.50,,,,N,Y,4.50,,
flying-punch,10078,Flying punch,Candy Toys (YLF),,N,,,,,,,0.00,,,,N,Y,8.90,,
frozen-/-justice-league-show-candy,10079,Frozen / Justice league Show Candy,Candy Toys (YLF),,N,,,,,,,5.30,,,,N,Y,8.50,,
frozen-elsa,10080,Frozen Elsa,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,129.00,,
funny-swing,10081,Funny Swing,Toys & Games,,N,,,,,,,5.00,,,,Y,Y,9.00,46.000,
gas-station,10290,gas station,Candy Toys (YLF),,N,,,,,,,4.00,,,,Y,Y,7.90,1.000,0.000
gator-chomp,10082,Gator Chomp,Candy Toys (YLF),,N,,,,,,,4.20,,,,N,Y,7.90,,
giant,10083,Giant,Balloons & Party,,N,,,,,,,4.00,,,,N,Y,14.90,,
gift-box,10336,Gift Box,Packaging,,N,,,,,,,0.00,,,,N,Y,3.00,,
glass-jar-only-,10085,Glass jar only,Gummies & Candy,,N,,,,,,,3.00,,,,N,Y,5.00,,
gummies-&-choco-mix,10087,Gummies & Choco MiX,Gummies & Candy,,N,,,,,,,0.04,,,,N,Y,0.09,,
gummy-packets,10075,Gummy packets,Gummies & Candy,,N,,,,,,,0.00,,,,Y,Y,2.00,0.000,0.000
gummy-plastic,10339,Gummy plastic,Gummies & Candy,,N,,,,,,,0.00,,,,N,Y,10.00,,
hair-clip-,10088,Hair Clip,Keychains & Accessories,,N,,,,,,,3.50,,,,Y,Y,7.00,9.000,
hair-clips,10089,Hair clips,Hair Accessories,,N,,,,,,,0.00,,,,N,Y,8.00,,
hair-comb,10103,Hair comb,Hair Accessories,,N,,,,,,,0.00,,,,N,Y,5.00,,
happy-anniversary,10090,Happy Anniversary,Cake Toppers & Candles,,N,,,,,,,0.00,,,,N,Y,4.90,,
happy-birthday,10091,Happy Birthday,Party Supplies,,N,,,,,,,4.00,,,,N,Y,6.90,,
happy-birthday-banner,10093,Happy birthday banner,Party Supplies,,N,,,,,,,0.00,,,,N,Y,9.00,,
happy-birthday-candles,10092,Happy Birthday Candles,Cake Toppers & Candles,,N,,,,,,,2.00,,,,N,Y,7.90,,
haribo,10321,Haribo,Gummies & Candy,,N,,,,,,,0.00,,,,N,Y,70.00,,
haribo-1,10357,Haribo,Gummies & Candy,,N,,,,,,,0.00,,,,N,Y,3.90,,
haribo-gummy,10094,Haribo Gummy,Gummies & Candy,,N,,,,,,,5.00,,,,N,Y,14.00,,
haribo-roulatte,10095,Haribo Roulatte,Gummies & Candy,,N,,,,,,,1.00,,,,N,Y,2.00,,
hat-band-&-long-balloon,10291,hat band & long balloon,Balloons & Party,,N,,,,,,,3.00,,,,N,Y,3.00,,
helicopter,10096,Helicopter,Candy Toys (YLF),,N,,,,,,,4.50,,,,N,Y,6.50,,
hello-kitty,10098,Hello kitty,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,99.00,,
hello-kitty-big-bag-,10097,Hello Kitty Big Bag,Bags & Wallets,,N,,,,,,,5.00,,,,N,Y,15.00,,
pen,10182,Hello kitty pen,Stationery,,N,,,,,,,2.00,,,,Y,Y,3.50,25.000,
hello-kitty-set,10366,Hello kitty set,Keychains & Accessories,,N,,,,,,,0.00,,,,Y,Y,10.00,3.000,
hello-kitty-sharpener,10367,Hello kitty sharpener,Stationery,,N,,,,,,,0.00,,,,Y,Y,7.00,6.000,
hello-pen,10333,Hello Pen,Stationery,,N,,,,,,,0.00,15856007,,,N,Y,7.00,,
hermes-orange-cake,10100,Hermes Orange Cake,Cartoon Cakes,,N,,,,,,,99.00,,,,N,Y,99.00,,
hershey's-chocolate,10338,Hershey's chocolate,Chocolate & Choco Snacks,,N,,,,,,,0.00,,,,N,Y,59.00,,
highlighter-,10101,Highlighter,Stationery,,N,,,,,,,3.50,6958365448873,,,Y,Y,5.00,205.000,
pencil-set,10185,Highlighter Set,Stationery,,N,,,,,,,4.00,,,,Y,Y,8.00,9.000,
id-case-student,10102,ID Case Student,Keychains & Accessories,,N,,,,,,,4.50,,,,Y,Y,9.00,7.000,0.000
iron-man-cake-,10104,Iron man cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,129.00,,
jewelry-heart-barbie,10106,Jewelry Heart Barbie,Candy Toys (YLF),,N,,,,,,,4.55,,,,Y,Y,9.90,2.000,0.000
jungle-life,10107,Jungle life,Candy Toys (YLF),,N,,,,,,,0.00,,,,N,Y,8.90,,
justice-league-bpf-box,10105,JUSTICE LEAGUE bpf BOX,Candy Toys (YLF),,N,,,,,,,5.50,,,,N,Y,9.50,,
justice-league-candy-dispenser,10109,Justice league Candy dispenser,Candy Toys (YLF),,N,,,,,,,4.00,,,,N,Y,6.50,,
justice-league-mix-fruit-tin,10108,Justice League mix fruit tin,Candy Toys (YLF),,N,,,,,,,1.55,,,,N,Y,3.90,,
kids-sticker,10111,Kids sticker,Stickers & Tokens,,N,,,,,,,1.00,,,,Y,Y,2.00,17.000,0.000
kinder-happy-hippo,10304,Kinder happy hippo,Chocolate & Choco Snacks,,N,,,,,,,0.00,,,,N,Y,10.00,,
kinder-joy,10112,Kinder joy,Chocolate & Choco Snacks,,N,,,,,,,0.00,,,,N,Y,11.00,,
kinder-joy--1,10113,Kinder joy,Chocolate & Choco Snacks,,N,,,,,,,3.90,,,,N,Y,3.90,,
kinder-tronky,10114,Kinder tronky,Chocolate & Choco Snacks,,N,,,,,,,0.00,,,,N,Y,11.00,,
kinder-tronky-1,10115,Kinder tronky,Chocolate & Choco Snacks,,N,,,,,,,0.00,,,,N,Y,11.00,,
kitkat,10118,Kitkat,Gummies & Candy,,N,,,,,,,2.00,,,,N,Y,2.00,,
kitkat-character,10116,KitKat Character,Chocolate & Choco Snacks,,N,,,,,,,2.00,,,,N,Y,3.00,,
kitkat-mini-12pcs,10117,KitKat mini 12pcs,Chocolate & Choco Snacks,,N,,,,,,,24.00,,,,N,Y,24.00,,
koukou-surprise-egg,10119,KouKou Surprise Egg,Candy Toys (YLF),,N,,,,,,,2.70,,,,N,Y,4.90,,
kuromi,10292,kuromi,Toys & Games,,N,,,,,,,15.00,,,,Y,Y,15.00,1.000,0.000
kuromi-and-hero-2-for-25,10363,Kuromi and hero 2 for 25,Gummies & Candy,,N,,,,,,,0.00,,,,N,Y,25.00,,
kuromi-beg,10120,Kuromi Beg,Bags & Wallets,,N,,,,,,,16.00,,,,N,Y,29.00,,
kuromi-cake,10123,Kuromi cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,129.00,,
kuromi-cash-register,10124,Kuromi cash register,Toys & Games,,N,,,,,,,0.00,,,,N,Y,15.00,,
kuromi-charm-band,10293,kuromi charm band,Keychains & Accessories,,N,,,,,,,4.00,,,,N,Y,9.00,,
hello-pen-,10099,Kuromi Hello pen,Stationery,,N,,,,,,,7.00,7974887066585,,,Y,Y,7.00,70.000,
